dataset_id,theme,priority,source_name,source_url,access_type,target_path,fetch_strategy,license_note,why_it_matters
nuts3_regions_gisco_nrw,administrative_regions,1,Eurostat GISCO NUTS 2024 level 3,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_01M_2024_4326_LEVL_3.geojson,public,data/raw/nuts3_regions_gisco_2024.geojson,direct_download,Eurostat/GISCO attribution required,Base geography filtered to NRW NUTS prefix DEA for district scoring
bnetza_charging_register_nrw,ev_charging,1,Bundesnetzagentur Ladesaeulenregister,https://www.bundesnetzagentur.de/DE/Fachthemen/ElektrizitaetundGas/E-Mobilitaet/Ladesaeulenkarte/start.html,public,data/raw/bnetza_ladesaeulenregister.csv,discover_bnetza_csv,Check BNetzA reuse terms and cite access date,Main source for public EV charging infrastructure filtered to Nordrhein-Westfalen
destatis_population_nrw,population,1,Destatis GENESIS API,https://www-genesis.destatis.de/genesisWS/rest/2020/catalogue/tables,auth_required,data/raw/destatis_population_nrw.json,destatis_api,Requires GENESIS API token in .env,Population denominator for NRW district charger density and demand proxy
regionalstatistik_population_nrw,population,1,Regionalstatistik GENESIS API,https://www.regionalstatistik.de/genesisws/rest/2020/catalogue/tables,auth_required,data/raw/regionalstatistik_population_nrw.json,regionalstatistik_api,Requires Regionalstatistik username and password in .env,Kreis level population and regional indicators with AGS prefix 05
geofabrik_osm_nrw,roads,2,Geofabrik Nordrhein-Westfalen OSM extract,https://download.geofabrik.de/europe/germany/nordrhein-westfalen-latest-free.shp.zip,public_large,data/raw/geofabrik_nrw_latest_free_shp.zip,direct_download_large,OpenStreetMap ODbL attribution required,Road network and transport corridor accessibility for NRW plus optional buffer
opsd_conventional_power_plants_nrw,grid_generation,2,Open Power System Data conventional power plants DE,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_DE.csv,public,data/raw/opsd_conventional_power_plants_de.csv,direct_download,OPSD license and attribution required,Generation and grid infrastructure context filtered spatially to NRW
opsd_renewable_power_plants_nrw,renewables,2,Open Power System Data renewable power plants DE,https://data.open-power-system-data.org/renewable_power_plants/2020-08-25/renewable_power_plants_DE.csv,public_large,data/raw/opsd_renewable_power_plants_de.csv,direct_download_large,OPSD license and attribution required,Renewable integration potential and energy transition context filtered to NRW
mastr_units_nrw,renewables,3,Marktstammdatenregister public data,https://www.marktstammdatenregister.de/MaStR,manual_or_api,data/raw/mastr_units,manual_later,Check BNetzA/MaStR terms and API availability,More current renewable and energy asset registry for NRW
openinframap_power_nrw,grid_infrastructure,3,OpenInfraMap power layer,https://openinframap.org,manual_or_overpass,data/raw/openinframap_power_nrw.geojson,manual_later,Derived from OpenStreetMap ODbL where applicable,Substations and power lines for NRW grid accessibility
bast_traffic_counts_nrw,traffic,3,BASt traffic count data,https://www.bast.de/DE/Verkehrstechnik/Fachthemen/v2-verkehrszaehlung/zaehl_node.html,manual_later,data/raw/bast_traffic_counts_nrw,manual_later,Check BASt reuse terms,Traffic intensity for corridor demand and high-power charging priorities
