id,name,operator,district_text,longitude,latitude,reason
1128389,Eviny,Bilkraft GmbH,Kreis Düren,13.376935,52.516181,outside_nrw
1129475,batec group GmbH,batec group GmbH,Kreis Heinsberg,6.21601,55.122778,outside_nrw
1131144,batec group GmbH,batec group GmbH,Kreis Heinsberg,6.21601,55.122778,outside_nrw
1140689,Lidl,Lidl Dienstleistung GmbH & Co. KG,Kreis Herford,13.376935,52.516181,outside_nrw
1028380,Westfalen Weser Ladeservice GmbH,Westfalen Weser Ladeservice GmbH,Kreis Höxter,9.387989,51.757308,outside_nrw
1028381,Westfalen Weser Ladeservice GmbH,Westfalen Weser Ladeservice GmbH,Kreis Höxter,9.387978,51.757269,outside_nrw
1141662,EDEKA-MIHA Charge GmbH,EDEKA-MIHA Charge GmbH,Kreis Minden-Lübbecke,13.898084,51.519066,outside_nrw
1144450,EnBW mobility+ AG und Co.KG ,EnBW mobility+ AG und Co.KG ,Kreis Städteregion Aachen,6.019,50.8303,outside_nrw
1144451,EnBW mobility+ AG und Co.KG ,EnBW mobility+ AG und Co.KG ,Kreis Städteregion Aachen,6.019,50.8303,outside_nrw
1144452,EnBW mobility+ AG und Co.KG ,EnBW mobility+ AG und Co.KG ,Kreis Städteregion Aachen,6.019,50.8303,outside_nrw
1144453,EnBW mobility+ AG und Co.KG ,EnBW mobility+ AG und Co.KG ,Kreis Städteregion Aachen,6.019,50.8303,outside_nrw
1144454,EnBW mobility+ AG und Co.KG ,EnBW mobility+ AG und Co.KG ,Kreis Städteregion Aachen,6.019,50.8303,outside_nrw
1144455,EnBW mobility+ AG und Co.KG ,EnBW mobility+ AG und Co.KG ,Kreis Städteregion Aachen,6.019,50.8303,outside_nrw
1144456,EnBW mobility+ AG und Co.KG ,EnBW mobility+ AG und Co.KG ,Kreis Städteregion Aachen,6.019,50.8303,outside_nrw
1144457,EnBW mobility+ AG und Co.KG ,EnBW mobility+ AG und Co.KG ,Kreis Städteregion Aachen,6.019,50.8303,outside_nrw
1144458,EnBW mobility+ AG und Co.KG ,EnBW mobility+ AG und Co.KG ,Kreis Städteregion Aachen,6.019,50.8303,outside_nrw
1011111,Stadtwerke Tecklenburger Land GmbH & Co. KG,Stadtwerke Tecklenburger Land GmbH & Co. KG,Kreis Steinfurt,7.98018,52.305068,outside_nrw
1139222,TankE GmbH,TankE GmbH,Kreisfreie Stadt Köln,5.85372,50.98463,outside_nrw
1112528,Hermann Krause,Hermann Krause,Kreisfreie Stadt Münster,11.06126,49.38963,outside_nrw
